lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,1,ct,0.0,0.0,0,14,1,494.0,1119
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,2,ct+seg,0.048,1.0,1,20,0,494.0,1400
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,494.0,536
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,494.0,636
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,494.0,476
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,494.0,547
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,1,ct,0.0,0.0,0,10,1,173.0,1112
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,173.0,159
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,173.0,293
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,173.0,192
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,173.0,257
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,173.0,139
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,1,ct,0.0,0.0,0,10,1,159.0,2279
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,2,ct+seg,0.2,1.0,1,4,0,159.0,1073
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,159.0,217
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,159.0,137
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,159.0,224
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,159.0,117
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,1,ct,1.0,1.0,1,0,0,341.0,498
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,2,ct+seg,1.0,1.0,1,0,0,341.0,409
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,341.0,301
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,341.0,415
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,341.0,296
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,341.0,330
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,1,ct,0.0,0.0,0,6,1,76.0,495
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,1,1,76.0,411
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,3,ct+seg+box,0.0,0.0,0,0,1,76.0,0
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,76.0,71
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,6,ct+seg+mask,0.0,0.0,0,4,1,76.0,652
ULSDL3D_000116_07_02_163_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,76.0,55
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,1,ct,0.0,0.0,0,2,1,120.0,447
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,2,ct+seg,0.167,1.0,1,5,0,120.0,590
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,120.0,241
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,120.0,133
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,6,ct+seg+mask,1.0,1.0,1,0,0,120.0,179
ULSDL3D_000117_03_01_040_lesion_01.nii.gz,7,ct+seg+2mask,1.0,1.0,1,0,0,120.0,119
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,1,ct,0.25,1.0,1,3,0,313.0,275
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,2,ct+seg,0.5,1.0,1,1,0,313.0,293
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,3,ct+seg+box,1.0,1.0,1,0,0,313.0,405
ULSDL3D_000136_02_01_024_lesion_01.nii.gz,5,ct+seg+2box,1.0,1.0,1,0,0,313.0,261
