lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,1,ct,0.0,0.0,0,1119,494,494.0,1119
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,2,ct+seg,0.215,0.609,301,1099,193,494.0,1400
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,3,ct+seg+box,0.729,0.791,391,145,103,494.0,536
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,5,ct+seg+2box,0.723,0.931,460,176,34,494.0,636
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,6,ct+seg+mask,0.769,0.741,366,110,128,494.0,476
ULSDL3D_000042_03_01_043_lesion_01.nii.gz,7,ct+seg+2mask,0.867,0.96,474,73,20,494.0,547
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,1,ct,0.0,0.0,0,1112,173,173.0,1112
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,2,ct+seg,0.648,0.595,103,56,70,173.0,159
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,3,ct+seg+box,0.56,0.948,164,129,9,173.0,293
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,5,ct+seg+2box,0.771,0.855,148,44,25,173.0,192
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,6,ct+seg+mask,0.584,0.867,150,107,23,173.0,257
ULSDL3D_000090_01_01_115_lesion_01.nii.gz,7,ct+seg+2mask,0.827,0.665,115,24,58,173.0,139
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,1,ct,0.0,0.0,0,2279,159,159.0,2279
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,2,ct+seg,0.13,0.881,140,933,19,159.0,1073
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,3,ct+seg+box,0.613,0.836,133,84,26,159.0,217
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,5,ct+seg+2box,0.847,0.73,116,21,43,159.0,137
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,6,ct+seg+mask,0.616,0.868,138,86,21,159.0,224
ULSDL3D_000091_03_01_058_lesion_01.nii.gz,7,ct+seg+2mask,0.966,0.711,113,4,46,159.0,117
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,1,ct,0.649,0.947,323,175,18,341.0,498
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,2,ct+seg,0.763,0.915,312,97,29,341.0,409
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,3,ct+seg+box,0.847,0.748,255,46,86,341.0,301
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,5,ct+seg+2box,0.723,0.88,300,115,41,341.0,415
ULSDL3D_000103_13_01_019_lesion_01.nii.gz,6,ct+seg+mask,0.895,0.777,265,31,76,341.0,296
